Crossing, Latitude, Longitude
Bornholmer Straße, 52.554740, 13.397665
Chausseestraße, 52.540476, 13.369657
Invalidenstraße, 52.527903, 13.374065
Friedrichstraße, 52.507622, 13.390418
Heinrich-Heine-Straße, 52.504716, 13.411608
Oberbaumbrücke, 52.501974, 13.445873
Sonnenallee, 52.461675, 13.478443
Friedrichstraße station, 52.520276, 13.387037
Grenzübergangsstelle Drewitz-Dreilinden, 52.415474, 13.197161
Glienicker Brücke, 52.413490, 13.090139
Heerstraße, 52.529062, 13.119219
Berlin-Heiligensee, 52.628056, 13.241596